seq,mode,epoch,holdMs,sendStartMs,sendEndMs,unixMs,bundle,order,msgDelay
20199,0,50,150,29702.30,29702.86,1789623707610.3,0,forward,0
20200,0,50,150,29702.91,29703.36,1789623707610.9,0,forward,0
20201,0,50,150,29852.91,29853.43,1789623707760.9,0,forward,0
20202,0,50,150,30002.91,30003.45,1789623707910.9,0,forward,0
20203,0,50,150,30152.91,30153.51,1789623708060.9,0,forward,0
20204,0,50,150,30302.91,30303.41,1789623708210.9,0,forward,0
20205,0,50,150,30452.93,30453.46,1789623708360.9,0,forward,0
20206,0,50,150,30602.91,30603.45,1789623708510.9,0,forward,0
20207,0,50,150,30752.91,30753.25,1789623708660.9,0,forward,0
20208,0,50,150,30902.91,30903.47,1789623708810.9,0,forward,0
20209,0,50,150,31052.91,31053.36,1789623708960.9,0,forward,0
20210,0,50,150,31202.91,31203.46,1789623709110.9,0,forward,0
20211,0,50,150,31352.91,31353.39,1789623709260.9,0,forward,0
20212,0,50,150,31502.91,31503.54,1789623709410.9,0,forward,0
20213,0,50,150,31652.91,31653.39,1789623709560.9,0,forward,0
20214,0,50,150,31802.91,31803.66,1789623709710.9,0,forward,0
20215,0,50,150,31952.91,31953.51,1789623709860.9,0,forward,0
20216,0,50,150,32102.91,32103.76,1789623710010.9,0,forward,0
20217,0,50,150,32252.97,32253.61,1789623710161.0,0,forward,0
20218,0,50,150,32402.91,32403.30,1789623710310.9,0,forward,0
20219,0,50,150,32552.91,32553.42,1789623710460.9,0,forward,0
20220,0,50,150,32702.91,32703.48,1789623710610.9,0,forward,0
20221,0,50,150,32852.91,32853.44,1789623710760.9,0,forward,0
20222,0,50,150,33002.91,33003.55,1789623710910.9,0,forward,0
20223,0,50,150,33152.91,33153.45,1789623711060.9,0,forward,0
20224,0,50,150,33302.91,33303.48,1789623711210.9,0,forward,0
20225,0,50,150,33452.92,33453.45,1789623711360.9,0,forward,0
20226,0,50,150,33602.91,33603.44,1789623711510.9,0,forward,0
20227,0,50,150,33752.93,33753.42,1789623711660.9,0,forward,0
20228,0,50,150,33902.91,33903.59,1789623711810.9,0,forward,0
20229,0,50,150,34052.91,34053.36,1789623711960.9,0,forward,0
20230,0,50,150,34202.91,34203.53,1789623712110.9,0,forward,0
20231,0,50,150,34352.91,34353.52,1789623712260.9,0,forward,0
20232,0,50,150,34502.91,34503.48,1789623712410.9,0,forward,0
20233,0,50,150,34652.91,34653.54,1789623712560.9,0,forward,0
20234,0,50,150,34802.91,34803.55,1789623712710.9,0,forward,0
20235,0,50,150,34952.91,34953.42,1789623712860.9,0,forward,0
20236,0,50,150,35102.91,35103.46,1789623713010.9,0,forward,0
20237,0,50,150,35252.91,35253.46,1789623713160.9,0,forward,0
20238,0,50,150,35402.91,35403.42,1789623713310.9,0,forward,0
20239,0,50,150,35552.91,35553.46,1789623713460.9,0,forward,0
20240,0,50,150,35702.91,35703.46,1789623713610.9,0,forward,0
20241,0,50,150,35852.91,35853.46,1789623713760.9,0,forward,0
20242,0,50,150,36002.91,36003.47,1789623713910.9,0,forward,0
20243,0,50,150,36152.91,36153.52,1789623714060.9,0,forward,0
20244,0,50,150,36303.01,36303.43,1789623714211.0,0,forward,0
20245,0,50,150,36452.91,36453.50,1789623714360.9,0,forward,0
20246,0,50,150,36602.91,36603.48,1789623714510.9,0,forward,0
20247,0,50,150,36752.91,36753.42,1789623714660.9,0,forward,0
20248,0,50,150,36902.91,36903.44,1789623714810.9,0,forward,0
20249,0,50,150,37052.91,37053.41,1789623714960.9,0,forward,0
20250,0,50,150,37202.91,37203.52,1789623715110.9,0,forward,0
20251,0,50,150,37352.91,37353.30,1789623715260.9,0,forward,0
20252,0,50,150,37502.92,37503.41,1789623715410.9,0,forward,0
20253,0,50,150,37652.91,37653.39,1789623715560.9,0,forward,0
20254,0,50,150,37802.91,37803.39,1789623715710.9,0,forward,0
20255,0,50,150,37952.91,37953.48,1789623715860.9,0,forward,0
20256,0,50,150,38102.96,38103.49,1789623716011.0,0,forward,0
20257,0,50,150,38252.91,38253.52,1789623716160.9,0,forward,0
20258,0,50,150,38402.91,38403.46,1789623716310.9,0,forward,0
20259,0,50,150,38552.91,38553.44,1789623716460.9,0,forward,0
20260,0,50,150,38702.91,38703.37,1789623716610.9,0,forward,0
20261,0,50,150,38852.91,38853.47,1789623716760.9,0,forward,0
20262,0,50,150,39002.91,39003.43,1789623716910.9,0,forward,0
20263,0,50,150,39152.91,39153.49,1789623717060.9,0,forward,0
20264,0,50,150,39302.91,39303.38,1789623717210.9,0,forward,0
20265,0,50,150,39452.91,39453.52,1789623717360.9,0,forward,0
20266,0,50,150,39602.91,39603.46,1789623717510.9,0,forward,0
20267,0,50,150,39752.91,39753.46,1789623717660.9,0,forward,0
20268,0,50,150,39902.91,39903.53,1789623717810.9,0,forward,0
20269,0,50,150,40052.91,40053.41,1789623717960.9,0,forward,0
20270,0,50,150,40202.91,40203.40,1789623718110.9,0,forward,0
20271,0,50,150,40352.91,40353.40,1789623718260.9,0,forward,0
20272,0,50,150,40502.91,40503.36,1789623718410.9,0,forward,0
20273,0,50,150,40652.91,40653.41,1789623718560.9,0,forward,0
20274,0,50,150,40802.91,40803.48,1789623718710.9,0,forward,0
