seq,mode,epoch,holdMs,sendStartMs,sendEndMs,unixMs,bundle,order,msgDelay
5346,0,31,150,35703.18,35703.48,1789623373577.2,1,forward,0
5347,0,31,150,35853.18,35853.45,1789623373727.2,1,forward,0
5348,0,31,150,36003.18,36003.48,1789623373877.2,1,forward,0
5349,0,31,150,36153.18,36153.45,1789623374027.2,1,forward,0
5350,0,31,150,36303.18,36303.38,1789623374177.2,1,forward,0
5351,0,31,150,36453.25,36453.65,1789623374327.2,1,forward,0
5352,0,31,150,36603.18,36603.38,1789623374477.2,1,forward,0
5353,0,31,150,36753.41,36753.84,1789623374627.4,1,forward,0
5354,0,31,150,36903.18,36903.37,1789623374777.2,1,forward,0
5355,0,31,150,37053.18,37053.43,1789623374927.2,1,forward,0
5356,0,31,150,37203.18,37203.50,1789623375077.2,1,forward,0
5357,0,31,150,37353.19,37353.43,1789623375227.2,1,forward,0
5358,0,31,150,37503.18,37503.46,1789623375377.2,1,forward,0
5359,0,31,150,37653.30,37653.51,1789623375527.3,1,forward,0
5360,0,31,150,37803.18,37803.38,1789623375677.2,1,forward,0
5361,0,31,150,37953.18,37953.39,1789623375827.2,1,forward,0
5362,0,31,150,38103.18,38103.38,1789623375977.2,1,forward,0
5363,0,31,150,38253.18,38253.59,1789623376127.2,1,forward,0
5364,0,31,150,38403.18,38403.43,1789623376277.2,1,forward,0
5365,0,31,150,38553.18,38553.46,1789623376427.2,1,forward,0
5366,0,31,150,38703.18,38703.58,1789623376577.2,1,forward,0
5367,0,31,150,38853.18,38853.57,1789623376727.2,1,forward,0
5368,0,31,150,39003.18,39003.57,1789623376877.2,1,forward,0
5369,0,31,150,39153.18,39153.43,1789623377027.2,1,forward,0
5370,0,31,150,39303.18,39303.42,1789623377177.2,1,forward,0
5371,0,31,150,39453.18,39453.60,1789623377327.2,1,forward,0
5372,0,31,150,39603.18,39603.56,1789623377477.2,1,forward,0
5373,0,31,150,39753.18,39753.47,1789623377627.2,1,forward,0
5374,0,31,150,39903.18,39903.55,1789623377777.2,1,forward,0
5375,0,31,150,40053.18,40053.43,1789623377927.2,1,forward,0
5376,0,31,150,40203.26,40203.50,1789623378077.3,1,forward,0
5377,0,31,150,40354.20,40354.42,1789623378228.2,1,forward,0
5378,0,31,150,40503.18,40503.45,1789623378377.2,1,forward,0
5379,0,31,150,40653.18,40653.76,1789623378527.2,1,forward,0
5380,0,31,150,40803.18,40803.56,1789623378677.2,1,forward,0
5381,0,31,150,40953.52,40953.81,1789623378827.5,1,forward,0
5382,0,31,150,41103.18,41103.56,1789623378977.2,1,forward,0
5383,0,31,150,41253.18,41253.36,1789623379127.2,1,forward,0
5384,0,31,150,41403.19,41403.57,1789623379277.2,1,forward,0
5385,0,31,150,41553.18,41553.61,1789623379427.2,1,forward,0
5386,0,31,150,41703.18,41703.42,1789623379577.2,1,forward,0
5387,0,31,150,41853.18,41853.59,1789623379727.2,1,forward,0
5388,0,31,150,42003.18,42003.44,1789623379877.2,1,forward,0
5389,0,31,150,42153.18,42153.40,1789623380027.2,1,forward,0
5390,0,31,150,42303.19,42303.43,1789623380177.2,1,forward,0
5391,0,31,150,42453.18,42453.42,1789623380327.2,1,forward,0
5392,0,31,150,42603.19,42603.57,1789623380477.2,1,forward,0
5393,0,31,150,42753.18,42753.39,1789623380627.2,1,forward,0
5394,0,31,150,42904.17,42904.38,1789623380778.2,1,forward,0
5395,0,31,150,43053.18,43053.57,1789623380927.2,1,forward,0
5396,0,31,150,43203.18,43203.50,1789623381077.2,1,forward,0
5397,0,31,150,43353.18,43353.56,1789623381227.2,1,forward,0
5398,0,31,150,43503.18,43503.46,1789623381377.2,1,forward,0
5399,0,31,150,43653.18,43653.41,1789623381527.2,1,forward,0
5400,0,31,150,43803.18,43803.41,1789623381677.2,1,forward,0
5401,0,31,150,43953.18,43953.42,1789623381827.2,1,forward,0
5402,0,31,150,44103.18,44103.44,1789623381977.2,1,forward,0
5403,0,31,150,44253.18,44253.56,1789623382127.2,1,forward,0
5404,0,31,150,44403.18,44403.44,1789623382277.2,1,forward,0
