frame,timeMs,boardIdx,x,y,w,h,seq,mode,epoch,consistent,exact,isLocal,isFriend,allZero,mismatches,loop,valid
99,1650.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68085,1
99,1650.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68435,1
100,1666.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68087,1
100,1666.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68437,1
101,1683.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68089,1
101,1683.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68439,1
102,1700.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68091,1
102,1700.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68441,1
103,1716.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68091,1
103,1716.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68441,1
104,1733.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68095,1
104,1733.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68445,1
105,1750.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68097,1
105,1750.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68447,1
106,1766.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68099,1
106,1766.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68449,1
107,1783.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68101,1
107,1783.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68451,1
108,1800.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68103,1
108,1800.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68453,1
109,1816.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68103,1
109,1816.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68453,1
110,1833.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68107,1
110,1833.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68457,1
111,1850.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68109,1
111,1850.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68459,1
112,1866.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68111,1
112,1866.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68461,1
113,1883.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68113,1
113,1883.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68463,1
114,1900.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68115,1
114,1900.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68465,1
115,1916.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68117,1
115,1916.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68467,1
116,1933.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68119,1
116,1933.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68469,1
117,1950.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68121,1
117,1950.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68471,1
118,1966.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68123,1
118,1966.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68473,1
119,1983.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68125,1
119,1983.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68475,1
120,2000.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68127,1
120,2000.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68477,1
121,2016.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68129,1
121,2016.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68479,1
122,2033.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68131,1
122,2033.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68481,1
123,2050.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68131,1
123,2050.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68481,1
124,2066.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68135,1
124,2066.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68485,1
125,2083.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68137,1
125,2083.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68487,1
126,2100.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68139,1
126,2100.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68489,1
127,2116.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68141,1
127,2116.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68491,1
128,2133.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68141,1
128,2133.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68491,1
129,2150.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68143,1
129,2150.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68493,1
130,2166.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68147,1
130,2166.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68495,1
131,2183.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68147,1
131,2183.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68497,1
132,2200.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68151,1
132,2200.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68501,1
133,2216.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68153,1
133,2216.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68503,1
134,2233.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68155,1
134,2233.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68505,1
135,2250.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68157,1
135,2250.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68507,1
136,2266.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68157,1
136,2266.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68507,1
137,2283.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68159,1
137,2283.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68509,1
138,2300.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68163,1
138,2300.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68511,1
139,2316.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68165,1
139,2316.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68513,1
140,2333.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68167,1
140,2333.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68515,1
141,2350.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68169,1
141,2350.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68517,1
142,2366.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68169,1
142,2366.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68519,1
143,2383.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68173,1
143,2383.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68521,1
144,2400.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68175,1
144,2400.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68523,1
145,2416.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68175,1
145,2416.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68525,1
146,2433.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68179,1
146,2433.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68527,1
147,2450.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68179,1
147,2450.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68529,1
148,2466.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68183,1
148,2466.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68531,1
149,2483.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68183,1
149,2483.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68533,1
150,2500.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68185,1
150,2500.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68535,1
151,2516.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68189,1
151,2516.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68537,1
152,2533.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68191,1
152,2533.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68539,1
153,2550.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68191,1
153,2550.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68541,1
154,2566.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68195,1
154,2566.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68543,1
155,2583.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68195,1
155,2583.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68545,1
156,2600.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68199,1
156,2600.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68547,1
157,2616.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68201,1
157,2616.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68549,1
158,2633.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68203,1
158,2633.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68551,1
159,2650.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68205,1
159,2650.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68553,1
160,2666.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68207,1
160,2666.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68555,1
161,2683.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68209,1
161,2683.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68557,1
162,2700.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68211,1
162,2700.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68559,1
163,2716.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68213,1
163,2716.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68561,1
164,2733.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68215,1
164,2733.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68563,1
165,2750.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68217,1
165,2750.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68565,1
166,2766.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68217,1
166,2766.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68567,1
167,2783.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68219,1
167,2783.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68569,1
168,2800.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68223,1
168,2800.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68571,1
169,2816.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68225,1
169,2816.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68573,1
