
=== B=256 (metric msssimc, AUC over log t, training images) ===
codec  cfg                        imgs |    t=1    t=2    t=5   t=10   t=20   t=40   t=60 |   AUC
 wavs   q48-m16-rd-u8                18 |  0.402  0.455  0.462  0.519  0.568  0.698  0.793 | 0.531
 wavs   q48-m4-u10                   18 |  0.387  0.432  0.473  0.530  0.610  0.680  0.711 | 0.530
 wavs   q48-m16-u8                   18 |  0.398  0.453  0.457  0.512  0.562  0.694  0.792 | 0.527
 wavs   q96-m16-rd-u10               18 |  0.417  0.463  0.473  0.531  0.579  0.640  0.670 | 0.526
 wavs   q96-m16-u10                  18 |  0.412  0.461  0.470  0.527  0.578  0.639  0.670 | 0.524
 wavs   q24-m16-rd-u8                18 |  0.406  0.439  0.446  0.491  0.542  0.686  0.774 | 0.513
 wavs   q24-m4-u10                   18 |  0.382  0.412  0.463  0.490  0.583  0.650  0.681 | 0.507
 wavs   q24-m16-u8                   18 |  0.390  0.435  0.443  0.479  0.531  0.679  0.768 | 0.506
 wavs   q48-m16-rd-u10               18 |  0.403  0.444  0.453  0.503  0.547  0.596  0.619 | 0.499
 wavs   q48-m16-u10                  18 |  0.394  0.443  0.451  0.495  0.545  0.599  0.624 | 0.496
 wavs   q24-m16-rd-u10               18 |  0.406  0.435  0.441  0.484  0.533  0.580  0.607 | 0.486
 wavs   q24-m16-u10                  18 |  0.387  0.426  0.432  0.461  0.521  0.577  0.600 | 0.475
*wavl   L192-64-20                   18 |  0.436  0.493  0.590  0.672  0.733  0.781  0.805 | 0.632
 wavl   L192-48                      18 |  0.436  0.493  0.590  0.672  0.733  0.780  0.804 | 0.632
 wavl   L96-24                       18 |  0.428  0.474  0.562  0.644  0.719  0.778  0.804 | 0.615
*pw     n60-e6.5.4-c332a2-r256-L192-64-20   18 |  0.501  0.556  0.637  0.705  0.765  0.813  0.835 | 0.676
 pw     n150-e6.5.4-c332a2-r256-L192-64-20   18 |  0.501  0.556  0.637  0.704  0.760  0.813  0.840 | 0.675
*palq   k2-r64                       18 |  0.440  0.526  0.593  0.641  0.684  0.728  0.757 | 0.617
 palq   k3-r64                       18 |  0.391  0.465  0.553  0.608  0.654  0.697  0.720 | 0.576
 palq   k3-r128                      18 |  0.391  0.463  0.541  0.591  0.635  0.675  0.696 | 0.563
*tile   T32-L192-48-t5               18 |  0.431  0.490  0.587  0.671  0.734  0.782  0.806 | 0.631
 tile   T32-L192-48-t10              18 |  0.431  0.490  0.587  0.671  0.734  0.782  0.806 | 0.631
 tile   T32-L192-48-t20              18 |  0.431  0.490  0.587  0.671  0.734  0.782  0.806 | 0.631
 tile   T64-L192-48-t10              18 |  0.431  0.490  0.587  0.671  0.734  0.782  0.806 | 0.631
 tile   T16-L192-48-t10              18 |  0.431  0.490  0.587  0.671  0.734  0.782  0.806 | 0.631
 tile   T32-L192-48-t40              18 |  0.431  0.490  0.587  0.671  0.734  0.782  0.806 | 0.631

wrote results/selected-all.json 40
